customer_id,signup_date,country,age,gender,loyalty_tier,acquisition_channel
98,18-01-2023,UK,44,Female,Bronze,Paid Search
99,29-11-2022,US,21,Male,Bronze,Paid Search
100,03-06-2021,CA,21,Female,Bronze,Social
101,01-07-2023,IN,44,Male,Platinum,Organic
102,07-08-2021,UK,31,Male,Bronze,Referral
103,01-06-2023,IN,36,Male,Silver,Social
104,09-01-2021,DE,18,Female,Bronze,Organic
105,23-05-2023,US,41,Male,Silver,Social
106,12-05-2023,IN,25,Male,Silver,Paid Search
107,05-05-2023,BR,45,Male,Bronze,Organic
108,30-12-2022,US,34,Male,Bronze,Paid Search
109,01-06-2022,BR,43,Male,Bronze,Organic
110,12-02-2023,BR,39,Other,Bronze,Paid Search
111,31-10-2021,US,33,Female,Bronze,Paid Search
112,05-05-2023,US,29,Male,Silver,Social
113,01-09-2022,CA,27,Female,Bronze,Organic
114,18-05-2022,AU,46,Male,Bronze,Organic
115,08-07-2022,US,18,Female,Bronze,Organic
116,15-09-2022,BR,21,Male,Bronze,Referral
117,10-02-2021,US,32,Male,Silver,Organic
118,03-06-2021,IN,18,Female,Platinum,Social
119,26-09-2021,BR,31,Female,Bronze,Referral
120,06-05-2021,US,35,Female,Bronze,Paid Search
121,27-04-2022,CA,44,Female,Bronze,Email
122,02-01-2023,US,49,Female,Bronze,Referral
123,18-12-2022,IN,19,Male,Bronze,Organic
124,31-05-2022,AU,36,Male,Gold,Email
125,26-07-2023,US,44,Female,Bronze,Organic
126,11-09-2022,DE,39,Female,Bronze,Organic
127,28-03-2021,BR,40,Female,Silver,Organic
128,18-04-2023,CA,30,Female,Gold,Organic
129,22-09-2022,AU,31,Male,Bronze,Paid Search
130,27-11-2022,AU,27,Female,Bronze,Organic
131,12-09-2022,US,39,Female,Silver,Organic
132,30-08-2022,UK,47,Female,Silver,Paid Search
133,10-04-2021,IN,40,Male,Silver,Organic
134,05-09-2022,DE,25,Male,Bronze,Organic
135,21-05-2023,CA,26,Female,Silver,Organic
136,29-11-2021,US,23,Male,Bronze,Organic
137,23-10-2022,CA,23,Female,Bronze,Organic
138,03-02-2021,IN,36,Male,Bronze,Organic
139,16-01-2022,DE,23,Female,Gold,Referral
140,24-04-2022,IN,28,Male,Platinum,Paid Search
141,13-12-2023,US,44,Female,Silver,Paid Search
142,23-08-2021,DE,31,Male,Silver,Paid Search
143,30-10-2021,IN,32,Female,Gold,Organic
144,24-03-2022,BR,34,Male,Bronze,Referral
145,23-12-2023,CA,39,Female,Silver,Social
146,24-07-2023,BR,31,Male,Silver,Email
147,07-02-2021,CA,18,Female,Bronze,Referral
148,14-09-2021,BR,34,Female,Silver,Referral
149,19-06-2023,US,29,Male,Silver,Organic
150,05-03-2021,UK,52,Female,Bronze,Paid Search
151,26-07-2023,US,22,Male,Bronze,Email
152,05-11-2021,IN,41,Male,Bronze,Email
153,02-10-2023,BR,32,Female,Bronze,Social
154,18-11-2021,DE,59,Female,Gold,Email
155,21-04-2022,UK,40,Female,Silver,Referral
156,26-12-2022,DE,51,Other,Bronze,Paid Search
157,19-05-2021,US,18,Female,Silver,Email
158,02-09-2022,AU,33,Male,Bronze,Organic
159,07-07-2022,US,28,Female,Gold,Paid Search
160,09-05-2023,US,43,Other,Bronze,Organic
161,27-12-2023,US,39,Female,Bronze,Referral
162,29-12-2022,AU,41,Female,Silver,Paid Search
163,25-03-2022,IN,35,Female,Platinum,Paid Search
164,21-03-2022,IN,44,Female,Silver,Social
165,03-04-2022,IN,35,Other,Bronze,Organic
166,11-06-2023,US,29,Male,Silver,Organic
167,18-12-2021,US,36,Male,Silver,Organic
168,02-07-2021,US,47,Female,Bronze,Paid Search
169,02-01-2022,IN,40,Female,Bronze,Organic
170,25-01-2021,US,39,Female,Silver,Organic
171,27-04-2021,IN,41,Female,Bronze,Paid Search
172,09-04-2021,IN,37,Male,Silver,Paid Search
173,25-04-2023,IN,31,Male,Bronze,Paid Search
174,02-03-2023,BR,36,Female,Bronze,Organic
175,02-02-2023,US,18,Male,Silver,Organic
176,21-05-2022,IN,18,Female,Platinum,Referral
177,25-02-2023,US,42,Male,Bronze,Organic
178,26-06-2021,BR,24,Female,Bronze,Paid Search
179,14-09-2023,BR,23,Other,Silver,Organic
180,03-07-2022,US,37,Female,Bronze,Organic
181,25-10-2023,US,33,Female,Bronze,Social
182,16-06-2021,US,37,Female,Bronze,Organic
183,29-06-2022,US,24,Female,Bronze,Social
184,02-02-2023,US,39,Male,Bronze,Email
185,27-06-2022,US,30,Male,Bronze,Paid Search
186,04-05-2022,US,47,Female,Bronze,Referral
187,02-07-2021,US,30,Female,Bronze,Paid Search
188,22-02-2022,IN,39,Male,Bronze,Referral
189,19-09-2021,US,27,Male,Silver,Organic
190,27-11-2021,IN,54,Female,Bronze,Organic
191,19-01-2023,BR,33,Female,Bronze,Organic
192,22-11-2022,IN,38,Male,Bronze,Social
193,27-10-2022,US,43,Female,Bronze,Email
194,01-02-2022,BR,32,Male,Bronze,Referral
195,17-11-2023,US,58,Female,Bronze,Paid Search
196,06-04-2021,US,44,Female,Bronze,Organic
197,11-01-2022,UK,21,Male,Bronze,Email
198,10-05-2021,US,39,Male,Gold,Email
199,07-01-2022,IN,42,Male,Bronze,Organic
200,20-11-2023,CA,42,Male,Bronze,Paid Search
201,06-02-2022,UK,24,Male,Silver,Paid Search
202,22-09-2023,CA,32,Female,Bronze,Social
203,27-06-2022,US,44,Female,Bronze,Paid Search
204,06-02-2023,US,29,Female,Bronze,Email
205,16-05-2022,IN,25,Female,Bronze,Referral
206,19-10-2021,IN,26,Male,Bronze,Paid Search
207,17-04-2023,DE,28,Female,Bronze,Paid Search
208,28-11-2023,DE,18,Male,Bronze,Social
209,16-10-2021,US,25,Male,Platinum,Paid Search
210,03-05-2023,BR,38,Male,Bronze,Email
211,13-10-2021,US,46,Male,Bronze,Paid Search
212,24-02-2023,AU,31,Female,Bronze,Paid Search
213,14-05-2023,US,36,Male,Bronze,Organic
214,08-05-2022,DE,34,Female,Bronze,Paid Search
215,18-03-2023,UK,32,Female,Gold,Paid Search
216,26-10-2021,UK,23,Female,Bronze,Paid Search
217,28-03-2021,CA,22,Female,Bronze,Organic
218,16-04-2021,UK,47,Female,Silver,Organic
219,05-05-2022,UK,34,Female,Bronze,Social
220,16-09-2023,BR,41,Female,Silver,Paid Search
221,20-05-2021,US,35,Male,Bronze,Paid Search
222,15-05-2022,IN,48,Female,Platinum,Paid Search
223,10-02-2023,DE,22,Female,Bronze,Organic
224,10-08-2021,US,32,Male,Gold,Organic
225,02-03-2023,US,30,Female,Bronze,Referral
226,02-12-2021,US,27,Female,Bronze,Social
227,05-06-2023,US,18,Male,Silver,Organic
228,27-09-2022,DE,35,Female,Bronze,Organic
229,22-08-2022,UK,40,Female,Gold,Paid Search
230,13-07-2021,US,49,Male,Bronze,Email
231,23-05-2022,IN,31,Male,Bronze,Organic
232,27-07-2023,US,23,Male,Silver,Social
233,22-01-2021,AU,24,Male,Gold,Paid Search
234,11-04-2023,DE,27,Male,Silver,Email
235,24-06-2022,US,36,Female,Silver,Paid Search
236,27-02-2023,US,25,Male,Silver,Paid Search
237,28-12-2022,BR,35,Female,Bronze,Social
238,19-04-2022,UK,23,Male,Platinum,Social
239,04-12-2021,IN,33,Female,Silver,Email
240,18-11-2022,UK,55,Other,Bronze,Social
241,03-06-2021,IN,37,Female,Bronze,Social
242,02-10-2022,BR,25,Female,Bronze,Email
243,14-04-2021,BR,62,Male,Bronze,Social
244,13-12-2022,US,45,Female,Bronze,Organic
245,20-11-2022,DE,41,Female,Bronze,Email
246,03-04-2021,BR,32,Male,Bronze,Paid Search
247,10-04-2023,US,42,Female,Bronze,Social
248,01-04-2022,BR,42,Male,Silver,Paid Search
249,12-05-2023,IN,25,Male,Silver,Referral
250,15-02-2021,US,45,Other,Bronze,Organic
251,16-07-2021,AU,43,Other,Bronze,Paid Search
252,25-06-2022,DE,34,Female,Silver,Organic
253,26-07-2021,US,29,Male,Bronze,Organic
254,28-12-2021,IN,48,Female,Bronze,Paid Search
255,25-12-2022,UK,31,Female,Gold,Organic
256,08-06-2021,DE,35,Other,Bronze,Email
257,13-01-2023,US,24,Male,Bronze,Paid Search
258,24-04-2021,UK,24,Male,Bronze,Email
259,11-07-2021,BR,53,Male,Bronze,Paid Search
260,06-10-2022,CA,49,Male,Silver,Paid Search
261,19-05-2023,US,46,Female,Bronze,Organic
262,06-07-2021,AU,38,Female,Silver,Email
263,25-11-2021,US,21,Male,Silver,Social
264,11-10-2023,CA,39,Male,Bronze,Paid Search
265,20-12-2023,US,39,Male,Bronze,Paid Search
266,29-09-2022,AU,34,Female,Bronze,Paid Search
267,05-05-2022,BR,41,Female,Bronze,Referral
268,15-01-2022,BR,54,Male,Silver,Organic
269,02-11-2022,US,29,Female,Bronze,Paid Search
270,10-10-2022,CA,38,Male,Gold,Referral
271,19-11-2021,US,24,Male,Silver,Organic
272,25-01-2021,IN,40,Female,Bronze,Email
273,15-06-2021,BR,32,Male,Platinum,Organic
274,16-11-2023,DE,36,Female,Bronze,Paid Search
275,03-04-2022,UK,27,Male,Bronze,Organic
276,13-06-2022,US,28,Male,Bronze,Organic
277,27-05-2022,IN,18,Male,Silver,Social
278,08-05-2023,US,35,Male,Silver,Social
279,13-03-2021,US,31,Male,Bronze,Paid Search
280,01-04-2021,AU,36,Male,Bronze,Organic
281,30-10-2021,UK,34,Female,Bronze,Paid Search
282,17-06-2022,US,41,Male,Bronze,Organic
283,05-01-2023,IN,52,Female,Silver,Paid Search
284,22-06-2022,US,26,Female,Bronze,Organic
285,29-04-2022,US,42,Female,Bronze,Referral
286,24-10-2023,CA,25,Male,Bronze,Paid Search
287,26-06-2021,US,30,Female,Bronze,Paid Search
288,19-09-2022,US,33,Male,Silver,Email
289,17-08-2022,US,42,Female,Silver,Organic
290,03-06-2022,DE,22,Female,Bronze,Organic
291,04-06-2023,US,21,Male,Silver,Paid Search
292,20-10-2021,US,35,Female,Gold,Referral
293,11-11-2023,BR,18,Male,Silver,Organic
294,30-12-2021,UK,44,Other,Bronze,Paid Search
295,20-08-2022,US,41,Female,Silver,Social
296,25-07-2022,BR,34,Male,Gold,Organic
297,20-07-2023,IN,41,Male,Gold,Organic
298,26-04-2022,BR,18,Male,Silver,Paid Search
299,08-11-2021,US,41,Male,Bronze,Paid Search
300,24-01-2021,US,40,Other,Bronze,Organic
301,03-02-2022,US,18,Male,Silver,Paid Search
302,24-06-2023,IN,35,Female,Bronze,Organic
303,11-01-2021,IN,30,Male,Bronze,Organic
304,09-09-2023,IN,18,Female,Bronze,Referral
305,18-08-2022,IN,32,Male,Bronze,Organic
306,03-06-2021,IN,39,Female,Bronze,Paid Search
307,27-11-2021,IN,18,Male,Bronze,Email
308,30-08-2022,US,40,Male,Silver,Referral
309,12-12-2021,UK,46,Female,Bronze,Paid Search
310,29-04-2021,BR,21,Male,Bronze,Organic
311,31-12-2022,AU,19,Female,Bronze,Organic
312,07-01-2023,US,45,Female,Silver,Email
313,11-05-2021,IN,30,Male,Bronze,Email
314,04-11-2021,US,46,Female,Bronze,Paid Search
315,25-09-2021,UK,34,Male,Bronze,Organic
316,24-12-2022,IN,21,Male,Bronze,Organic
317,11-03-2023,BR,22,Male,Silver,Social
318,08-03-2023,AU,55,Female,Silver,Paid Search
319,25-10-2023,US,18,Female,Gold,Paid Search
320,22-04-2023,IN,30,Female,Silver,Organic
321,18-12-2021,IN,26,Female,Bronze,Social
322,28-04-2021,UK,18,Female,Silver,Social
323,05-11-2022,CA,40,Male,Bronze,Organic
324,01-10-2023,US,25,Female,Bronze,Social
325,04-12-2023,US,40,Male,Bronze,Paid Search
326,10-09-2021,DE,33,Male,Platinum,Organic
327,16-09-2021,IN,40,Other,Bronze,Paid Search
328,10-02-2021,DE,18,Female,Bronze,Referral
329,04-06-2021,US,31,Female,Silver,Paid Search
330,31-08-2022,US,44,Other,Bronze,Referral
331,22-08-2022,US,29,Female,Bronze,Email
332,11-02-2022,CA,31,Male,Bronze,Social
333,06-12-2021,IN,22,Female,Platinum,Referral
334,28-06-2023,US,32,Female,Bronze,Email
335,19-05-2022,US,23,Male,Silver,Email
336,05-06-2023,BR,31,Other,Bronze,Referral
337,21-11-2023,IN,25,Female,Silver,Paid Search
338,14-12-2021,BR,45,Male,Silver,Paid Search
339,10-08-2021,AU,44,Female,Bronze,Social
340,10-11-2023,US,23,Female,Bronze,Paid Search
341,27-11-2022,AU,59,Female,Bronze,Referral
342,15-11-2021,IN,37,Female,Silver,Paid Search
343,12-11-2022,DE,38,Female,Silver,Paid Search
344,18-07-2022,IN,49,Female,Silver,Paid Search
345,19-09-2023,UK,39,Male,Silver,Email
346,08-10-2021,DE,26,Female,Silver,Referral
347,22-12-2023,US,18,Female,Bronze,Organic
348,22-10-2023,IN,18,Male,Bronze,Paid Search
349,17-07-2021,US,56,Male,Bronze,Organic
350,30-06-2021,US,37,Female,Bronze,Paid Search
351,07-08-2022,UK,38,Male,Silver,Paid Search
352,19-02-2021,DE,41,Female,Bronze,Paid Search
353,24-11-2021,US,29,Female,Bronze,Paid Search
354,22-04-2022,US,40,Male,Bronze,Organic
355,28-11-2023,AU,20,Female,Bronze,Organic
356,23-12-2023,IN,36,Female,Silver,Organic
357,15-06-2021,DE,43,Female,Bronze,Organic
358,04-09-2023,US,25,Male,Bronze,Paid Search
359,10-04-2021,UK,64,Female,Bronze,Email
360,31-03-2023,CA,21,Female,Bronze,Email
361,15-07-2023,US,41,Male,Bronze,Paid Search
362,03-09-2023,IN,35,Female,Bronze,Organic
363,02-09-2021,US,49,Female,Silver,Paid Search
364,06-09-2023,US,32,Male,Silver,Email
365,07-05-2021,UK,25,Female,Bronze,Organic
366,23-07-2022,UK,44,Male,Silver,Organic
367,30-05-2022,UK,27,Female,Platinum,Paid Search
368,12-12-2021,IN,43,Female,Bronze,Organic
369,25-01-2021,IN,22,Female,Silver,Organic
370,26-04-2023,IN,28,Male,Bronze,Paid Search
371,03-01-2022,US,25,Male,Silver,Organic
372,26-12-2022,US,20,Male,Bronze,Email
373,26-03-2022,US,22,Female,Gold,Organic
374,14-02-2022,BR,50,Female,Silver,Email
375,29-08-2023,US,57,Male,Bronze,Paid Search
376,14-04-2021,IN,18,Female,Bronze,Organic
377,18-03-2023,IN,48,Female,Bronze,Organic
378,29-03-2023,CA,39,Female,Bronze,Organic
379,21-02-2022,CA,35,Male,Bronze,Organic
380,15-10-2021,DE,20,Male,Platinum,Paid Search
381,06-01-2021,US,46,Male,Bronze,Paid Search
382,23-10-2023,US,18,Female,Silver,Organic
383,04-11-2023,CA,33,Female,Silver,Email
384,21-09-2021,BR,27,Male,Silver,Email
385,04-02-2021,BR,32,Female,Bronze,Organic
386,15-05-2021,BR,49,Female,Silver,Organic
387,16-03-2021,IN,18,Male,Bronze,Organic
388,30-06-2023,US,21,Male,Bronze,Email
389,04-09-2023,DE,31,Female,Bronze,Organic
390,17-06-2021,UK,45,Other,Bronze,Paid Search
391,29-03-2023,US,41,Male,Silver,Email
392,16-07-2021,UK,53,Male,Bronze,Referral
393,07-02-2022,AU,37,Female,Bronze,Organic
394,19-10-2022,US,38,Male,Bronze,Paid Search
395,28-02-2023,IN,28,Male,Silver,Social
396,16-08-2023,IN,18,Male,Silver,Social
397,19-02-2021,US,51,Female,Bronze,Social
398,04-08-2021,CA,38,Male,Bronze,Organic
399,04-11-2021,DE,34,Female,Bronze,Paid Search
400,06-12-2021,US,26,Male,Bronze,Paid Search
401,29-12-2023,BR,51,Male,Bronze,Organic
402,02-05-2023,IN,19,Female,Silver,Social
403,17-12-2021,UK,23,Male,Bronze,Social
404,01-12-2023,DE,30,Male,Bronze,Organic
405,01-07-2022,BR,41,Male,Silver,Social
406,03-07-2022,US,32,Female,Bronze,Organic
407,20-04-2022,UK,42,Male,Silver,Social
408,07-06-2021,DE,43,Male,Silver,Paid Search
409,21-10-2023,BR,32,Male,Bronze,Paid Search
410,16-01-2021,CA,48,Male,Silver,Organic
411,10-07-2021,BR,22,Female,Bronze,Email
412,09-09-2021,US,30,Female,Bronze,Organic
413,02-11-2021,IN,35,Female,Bronze,Referral
414,25-05-2021,US,43,Male,Bronze,Email
415,20-01-2021,IN,49,Male,Silver,Paid Search
416,13-01-2023,CA,28,Female,Silver,Social
417,28-11-2023,IN,38,Male,Silver,Email
418,14-05-2021,US,25,Male,Gold,Email
419,21-11-2021,DE,32,Female,Bronze,Organic
420,09-07-2022,US,40,Male,Bronze,Paid Search
421,13-10-2023,US,41,Male,Bronze,Organic
422,31-01-2023,DE,37,Female,Silver,Email
423,19-04-2023,BR,29,Female,Bronze,Referral
424,29-09-2022,US,34,Male,Silver,Social
425,02-04-2022,UK,30,Male,Gold,Paid Search
426,07-08-2021,IN,36,Female,Gold,Email
427,05-08-2023,US,30,Male,Bronze,Paid Search
428,31-05-2023,IN,28,Female,Silver,Organic
429,28-01-2021,US,29,Male,Gold,Referral
430,23-02-2023,CA,37,Female,Bronze,Email
431,03-04-2021,CA,28,Male,Bronze,Paid Search
432,21-03-2023,US,23,Male,Silver,Social
433,24-06-2023,US,43,Female,Bronze,Social
434,24-05-2021,US,26,Male,Bronze,Email
435,21-04-2022,AU,29,Female,Silver,Email
436,16-05-2021,BR,28,Female,Bronze,Social
437,14-09-2022,BR,34,Female,Bronze,Paid Search
438,13-10-2023,IN,38,Male,Bronze,Paid Search
439,30-03-2021,CA,30,Female,Bronze,Organic
440,12-03-2022,UK,40,Male,Bronze,Paid Search
441,02-12-2023,US,31,Male,Bronze,Organic
442,26-11-2021,IN,38,Male,Gold,Organic
443,25-05-2021,IN,49,Male,Gold,Social
444,19-06-2022,IN,30,Female,Bronze,Email
445,11-07-2022,US,38,Female,Bronze,Email
446,27-12-2022,IN,47,Other,Bronze,Organic
447,10-12-2021,UK,27,Male,Gold,Organic
448,13-11-2023,US,20,Female,Gold,Paid Search
449,25-07-2022,US,35,Male,Bronze,Organic
450,10-11-2021,DE,39,Male,Bronze,Referral
451,18-11-2023,IN,41,Female,Gold,Organic
452,10-10-2023,IN,33,Male,Bronze,Email
453,01-07-2022,BR,36,Male,Bronze,Paid Search
454,28-01-2021,IN,31,Female,Bronze,Organic
455,16-10-2022,US,40,Male,Silver,Social
456,31-08-2022,US,36,Male,Bronze,Email
457,12-06-2021,US,27,Male,Bronze,Paid Search
458,26-11-2022,US,49,Female,Bronze,Organic
459,10-07-2023,BR,42,Male,Gold,Referral
460,26-04-2021,BR,25,Male,Bronze,Email
461,04-03-2023,IN,26,Male,Bronze,Email
462,03-06-2021,US,30,Female,Bronze,Organic
463,31-03-2023,US,62,Female,Bronze,Social
464,04-04-2022,DE,18,Male,Bronze,Referral
465,08-01-2021,BR,60,Female,Gold,Paid Search
466,25-11-2023,IN,32,Male,Bronze,Email
467,01-07-2021,BR,27,Male,Gold,Email
468,15-10-2022,US,48,Female,Bronze,Paid Search
469,18-07-2021,UK,32,Male,Silver,Paid Search
470,19-10-2023,US,54,Female,Bronze,Email
471,20-03-2023,UK,34,Female,Bronze,Social
472,31-05-2023,UK,39,Female,Silver,Paid Search
473,19-04-2022,UK,35,Male,Bronze,Paid Search
474,27-05-2022,CA,51,Female,Bronze,Paid Search
475,26-11-2022,US,28,Female,Bronze,Paid Search
476,10-05-2023,US,31,Male,Silver,Email
477,17-07-2023,DE,34,Male,Bronze,Paid Search
478,20-01-2021,UK,34,Male,Silver,Social
479,28-12-2022,AU,52,Female,Silver,Referral
480,30-04-2021,CA,42,Female,Bronze,Paid Search
481,12-11-2021,IN,33,Female,Silver,Organic
482,28-06-2023,IN,33,Male,Silver,Paid Search
483,02-10-2021,DE,24,Male,Bronze,Paid Search
484,23-05-2023,US,35,Female,Silver,Social
485,22-05-2022,IN,43,Male,Bronze,Paid Search
486,12-09-2021,US,29,Male,Gold,Email
487,01-01-2022,US,26,Female,Silver,Organic
488,05-08-2022,CA,44,Female,Bronze,Organic
489,18-04-2023,IN,45,Female,Bronze,Social
490,26-10-2022,BR,24,Male,Bronze,Organic
491,19-10-2023,BR,28,Female,Silver,Paid Search
492,09-08-2023,CA,49,Male,Silver,Social
493,05-04-2023,CA,29,Male,Silver,Email
494,23-10-2022,US,42,Male,Bronze,Organic
495,14-11-2021,US,26,Female,Bronze,Organic
496,28-03-2022,DE,33,Female,Bronze,Email
497,11-05-2021,US,62,Male,Bronze,Referral
498,14-02-2022,IN,20,Male,Silver,Organic
499,12-10-2023,AU,25,Female,Silver,Social
500,12-04-2022,DE,23,Female,Silver,Email
501,05-05-2021,US,40,Female,Bronze,Organic
502,15-12-2022,DE,18,Female,Bronze,Organic
503,21-11-2023,CA,52,Male,Bronze,Referral
504,08-08-2023,BR,33,Male,Silver,Organic
505,28-10-2021,DE,25,Female,Silver,Paid Search
506,13-05-2022,US,46,Female,Bronze,Referral
507,05-08-2022,CA,33,Male,Silver,Paid Search
508,29-09-2021,DE,49,Male,Bronze,Paid Search
509,22-10-2021,IN,37,Male,Bronze,Referral
510,17-09-2021,CA,31,Female,Gold,Paid Search
511,26-12-2023,IN,41,Female,Bronze,Organic
512,28-03-2023,AU,43,Male,Gold,Organic
513,10-07-2023,AU,37,Female,Bronze,Paid Search
514,14-06-2023,US,27,Female,Silver,Organic
515,17-11-2023,IN,55,Other,Bronze,Organic
516,26-04-2021,US,34,Male,Bronze,Referral
517,24-08-2023,US,29,Male,Silver,Referral
518,14-03-2021,US,45,Female,Gold,Organic
519,05-06-2022,IN,42,Male,Silver,Social
520,13-10-2022,US,42,Male,Gold,Organic
521,27-01-2022,CA,30,Male,Bronze,Social
522,10-06-2021,US,23,Male,Bronze,Email
523,30-07-2021,US,41,Male,Gold,Paid Search
524,23-06-2023,US,32,Female,Silver,Paid Search
525,16-12-2021,IN,36,Male,Bronze,Paid Search
526,06-12-2021,US,51,Male,Silver,Social
527,09-10-2023,BR,49,Male,Silver,Referral
528,07-06-2021,IN,24,Female,Silver,Email
529,30-09-2023,BR,49,Male,Platinum,Email
530,06-10-2023,US,46,Male,Gold,Email
531,18-10-2022,US,33,Female,Bronze,Social
532,01-07-2021,BR,47,Female,Bronze,Organic
533,20-06-2021,IN,30,Female,Silver,Paid Search
534,08-11-2021,US,36,Female,Silver,Email
535,25-09-2022,US,45,Male,Bronze,Email
536,18-06-2021,BR,29,Male,Silver,Paid Search
537,14-05-2022,US,24,Male,Silver,Social
538,07-05-2021,IN,40,Female,Bronze,Paid Search
539,15-08-2022,BR,31,Male,Silver,Paid Search
540,24-01-2021,DE,41,Male,Bronze,Paid Search
541,16-02-2023,CA,32,Female,Gold,Paid Search
542,02-03-2021,IN,18,Male,Bronze,Email
543,02-08-2021,DE,31,Female,Silver,Referral
544,11-07-2021,UK,45,Female,Silver,Paid Search
545,29-06-2023,US,35,Female,Platinum,Organic
